"","year","date","event","high_1","low_1","high_2","low_2","high_3","max_tide_height"
"1","2006",2006-01-01,"",NA,35,138,-43,89,138
"2","2006",2006-01-02,"",NA,35,132,-33,90,132
"3","2006",2006-01-03,"",NA,36,121,-18,92,121
"4","2006",2006-01-04,"",NA,38,106,-1,NA,106
"5","2006",2006-01-05,"",93,40,87,17,NA,93
"6","2006",2006-01-06,"fq",93,39,69,33,NA,93
"7","2006",2006-01-07,"",94,31,58,46,NA,94
"8","2006",2006-01-08,"",95,16,64,54,NA,95
"9","2006",2006-01-09,"",99,1,72,55,NA,99
"10","2006",2006-01-10,"",105,-11,80,NA,NA,105
"11","2006",2006-01-11,"",NA,52,113,-20,85,113
"12","2006",2006-01-12,"",NA,47,119,-25,89,119
"13","2006",2006-01-13,"",NA,43,124,-26,92,124
"14","2006",2006-01-14,"fm",NA,40,126,-25,93,126
"15","2006",2006-01-15,"",NA,36,126,-21,93,126
"16","2006",2006-01-16,"",NA,33,122,-16,92,122
"17","2006",2006-01-17,"",NA,32,115,-8,90,115
"18","2006",2006-01-18,"",NA,31,105,0,89,105
"19","2006",2006-01-19,"",NA,33,93,10,88,93
"20","2006",2006-01-20,"",NA,35,79,21,NA,79
"21","2006",2006-01-21,"",87,38,64,32,NA,87
"22","2006",2006-01-22,"lq",87,37,49,43,NA,87
"23","2006",2006-01-23,"",88,25,NA,NA,NA,88
"24","2006",2006-01-24,"",92,6,64,59,NA,92
"25","2006",2006-01-25,"",101,-10,73,55,NA,101
"26","2006",2006-01-26,"",112,-29,81,NA,NA,112
"27","2006",2006-01-27,"",NA,46,125,-42,88,125
"28","2006",2006-01-28,"",NA,37,135,-49,95,135
"29","2006",2006-01-29,"nm",NA,28,142,-49,101,142
"30","2006",2006-01-30,"",NA,20,143,-42,106,143
"31","2006",2006-01-31,"",NA,15,137,-30,109,137
"32","2006",2006-02-01,"",NA,47,123,-31,87,123
"33","2006",2006-02-02,"",NA,44,129,-35,91,129
"34","2006",2006-02-03,"fm",NA,41,132,-35,93,132
"35","2006",2006-02-04,"",NA,39,131,-30,93,131
"36","2006",2006-02-05,"",NA,37,127,-22,92,127
"37","2006",2006-02-06,"",NA,37,118,-12,90,118
"38","2006",2006-02-07,"",NA,37,107,-1,88,107
"39","2006",2006-02-08,"",NA,38,94,10,85,94
"40","2006",2006-02-09,"",NA,41,79,21,NA,79
"41","2006",2006-02-10,"",82,44,63,32,NA,82
"42","2006",2006-02-11,"lq",80,43,47,42,NA,80
"43","2006",2006-02-12,"",80,30,NA,NA,NA,80
"44","2006",2006-02-13,"",85,14,63,59,NA,85
"45","2006",2006-02-14,"",94,0,70,56,NA,94
"46","2006",2006-02-15,"",105,-17,76,NA,NA,105
"47","2006",2006-02-16,"",NA,50,115,-29,82,115
"48","2006",2006-02-17,"",NA,43,125,-38,87,125
"49","2006",2006-02-18,"nm",NA,36,132,-43,91,132
"50","2006",2006-02-19,"",NA,30,136,-42,95,136
"51","2006",2006-02-20,"",NA,25,135,-37,99,135
"52","2006",2006-02-21,"",NA,22,129,-26,103,129
"53","2006",2006-02-22,"",NA,21,118,-12,105,118
"54","2006",2006-02-23,"",NA,22,102,5,104,104
"55","2006",2006-02-24,"",NA,25,83,22,NA,83
"56","2006",2006-02-25,"fq",102,29,62,38,NA,102
"57","2006",2006-02-26,"",97,26,NA,NA,NA,97
"58","2006",2006-02-27,"",93,11,67,65,NA,93
"59","2006",2006-02-28,"",96,0,77,NA,NA,96
"60","2006",2006-03-01,"",NA,59,107,-18,87,107
"61","2006",2006-03-02,"",NA,50,118,-26,94,118
"62","2006",2006-03-03,"",NA,41,127,-29,99,127
"63","2006",2006-03-04,"",NA,13,123,-13,110,123
"64","2006",2006-03-05,"",NA,14,105,5,107,107
"65","2006",2006-03-06,"",NA,19,82,23,NA,82
"66","2006",2006-03-07,"fq",102,26,60,39,NA,102
"67","2006",2006-03-08,"",94,30,NA,NA,NA,94
"68","2006",2006-03-09,"",85,16,69,69,NA,85
"69","2006",2006-03-10,"",86,1,77,NA,NA,86
"70","2006",2006-03-11,"",NA,60,96,-9,85,96
"71","2006",2006-03-12,"",NA,51,107,-16,91,107
"72","2006",2006-03-13,"",NA,43,116,-20,95,116
"73","2006",2006-03-14,"",NA,35,122,-22,97,122
"74","2006",2006-03-15,"fm",NA,28,124,-21,99,124
"75","2006",2006-03-16,"",NA,21,124,-18,100,124
"76","2006",2006-03-17,"",NA,16,120,-13,101,120
"77","2006",2006-03-18,"",NA,13,113,-6,102,113
"78","2006",2006-03-19,"",NA,12,104,2,103,104
"79","2006",2006-03-20,"",NA,13,93,12,102,102
"80","2006",2006-03-21,"",NA,16,79,22,101,101
"81","2006",2006-03-22,"",NA,21,64,31,98,98
"82","2006",2006-03-23,"",NA,25,48,40,NA,48
"83","2006",2006-03-24,"lq",92,23,NA,NA,NA,92
"84","2006",2006-03-25,"",86,6,69,67,NA,86
"85","2006",2006-03-26,"",91,-10,77,55,NA,91
"86","2006",2006-03-27,"",105,-20,87,NA,NA,105
"87","2006",2006-03-28,"",NA,39,121,-40,97,121
"88","2006",2006-03-29,"",NA,23,134,-45,107,134
"89","2006",2006-03-30,"nm",NA,8,141,-42,115,141
"90","2006",2006-03-31,"",NA,-3,140,-33,121,140
"91","2006",2006-04-01,"fm",NA,33,131,-28,102,131
"92","2006",2006-04-02,"",NA,27,131,-24,103,131
"93","2006",2006-04-03,"",NA,23,126,-17,103,126
"94","2006",2006-04-04,"",NA,20,119,-9,101,119
"95","2006",2006-04-05,"",NA,18,108,0,99,108
"96","2006",2006-04-06,"",NA,19,95,10,97,97
"97","2006",2006-04-07,"",NA,23,81,20,94,94
"98","2006",2006-04-08,"",NA,28,66,30,91,91
"99","2006",2006-04-09,"",NA,33,51,38,87,87
"100","2006",2006-04-10,"lq",NA,33,NA,NA,NA,NA
"101","2006",2006-04-11,"",83,17,NA,NA,NA,83
"102","2006",2006-04-12,"",85,1,71,61,NA,85
"103","2006",2006-04-13,"",96,-10,78,NA,NA,96
"104","2006",2006-04-14,"",NA,50,109,-28,86,109
"105","2006",2006-04-15,"",NA,37,122,-38,94,122
"106","2006",2006-04-16,"",NA,24,132,-42,102,132
"107","2006",2006-04-17,"nm",NA,13,137,-40,110,137
"108","2006",2006-04-18,"",NA,3,137,-32,116,137
"109","2006",2006-04-19,"",NA,-3,129,-20,120,129
"110","2006",2006-04-20,"",NA,-5,114,-4,119,119
"111","2006",2006-04-21,"",NA,-2,94,13,115,115
"112","2006",2006-04-22,"",NA,6,71,29,106,106
"113","2006",2006-04-23,"",NA,17,49,42,95,95
"114","2006",2006-04-24,"fq",NA,22,NA,NA,NA,NA
"115","2006",2006-04-25,"",82,6,76,66,NA,82
"116","2006",2006-04-26,"",87,0,85,NA,NA,87
"117","2006",2006-04-27,"",NA,52,101,-16,93,101
"118","2006",2006-04-28,"",NA,39,113,-20,99,113
"119","2006",2006-04-29,"",NA,-11,130,-20,122,130
"120","2006",2006-04-30,"",NA,-12,113,-3,120,120
"121","2006",2006-05-01,"",NA,-8,92,13,113,113
"122","2006",2006-05-02,"",NA,2,69,29,103,103
"123","2006",2006-05-03,"",NA,15,48,40,91,91
"124","2006",2006-05-04,"fq",NA,25,79,NA,NA,79
"125","2006",2006-05-05,"",NA,12,75,NA,NA,75
"126","2006",2006-05-06,"",NA,65,75,0,81,81
"127","2006",2006-05-07,"",NA,53,87,0,87,87
"128","2006",2006-05-08,"",NA,42,98,-13,92,98
"129","2006",2006-05-09,"",NA,31,106,-15,96,106
"130","2006",2006-05-10,"",NA,21,111,-16,99,111
"131","2006",2006-05-11,"",NA,11,113,-15,102,113
"132","2006",2006-05-12,"fm",NA,3,113,-12,105,113
"133","2006",2006-05-13,"",NA,-4,109,-7,108,109
"134","2006",2006-05-14,"",NA,-8,103,0,111,111
"135","2006",2006-05-15,"",NA,-9,95,8,112,112
"136","2006",2006-05-16,"",NA,-8,84,16,111,111
"137","2006",2006-05-17,"",NA,-4,71,24,108,108
"138","2006",2006-05-18,"",NA,2,56,33,101,101
"139","2006",2006-05-19,"",NA,10,41,39,92,92
"140","2006",2006-05-20,"lq",NA,14,79,NA,NA,79
"141","2006",2006-05-21,"",NA,0,72,61,NA,72
"142","2006",2006-05-22,"",82,-10,81,NA,NA,82
"143","2006",2006-05-23,"",NA,42,99,-20,94,99
"144","2006",2006-05-24,"",NA,22,115,-34,106,115
"145","2006",2006-05-25,"",NA,3,126,-34,116,126
"146","2006",2006-05-26,"",NA,-14,129,-29,124,129
"147","2006",2006-05-27,"nm",NA,-27,123,-19,128,128
"148","2006",2006-05-28,"",NA,-32,110,-6,127,127
"149","2006",2006-05-29,"",NA,-31,93,8,121,121
"150","2006",2006-05-30,"",NA,28,120,-21,103,120
"151","2006",2006-05-31,"",NA,18,123,-19,106,123
"152","2006",2006-06-01,"fm",NA,11,122,-15,107,122
"153","2006",2006-06-02,"",NA,5,117,-9,108,117
"154","2006",2006-06-03,"",NA,1,109,-2,108,109
"155","2006",2006-06-04,"",NA,-1,100,6,107,107
"156","2006",2006-06-05,"",NA,0,89,14,106,106
"157","2006",2006-06-06,"",NA,4,76,23,103,103
"158","2006",2006-06-07,"",NA,10,63,31,99,99
"159","2006",2006-06-08,"",NA,17,48,37,92,92
"160","2006",2006-06-09,"lq",NA,23,83,NA,NA,83
"161","2006",2006-06-10,"",NA,15,NA,NA,NA,NA
"162","2006",2006-06-11,"",75,0,72,57,NA,75
"163","2006",2006-06-12,"",86,-10,80,NA,NA,86
"164","2006",2006-06-13,"",NA,40,102,-20,91,102
"165","2006",2006-06-14,"",NA,22,116,-34,102,116
"166","2006",2006-06-15,"",NA,5,126,-36,113,126
"167","2006",2006-06-16,"nm",NA,-11,130,-31,123,130
"168","2006",2006-06-17,"",NA,-23,126,-22,128,128
"169","2006",2006-06-18,"",NA,-30,114,-9,129,129
"170","2006",2006-06-19,"",NA,-29,97,6,124,124
"171","2006",2006-06-20,"",NA,-21,76,21,115,115
"172","2006",2006-06-21,"",NA,-8,55,35,102,102
"173","2006",2006-06-22,"",NA,8,87,NA,NA,87
"174","2006",2006-06-23,"fq",NA,12,73,NA,NA,73
"175","2006",2006-06-24,"",NA,70,70,2,78,78
"176","2006",2006-06-25,"",NA,54,80,0,86,86
"177","2006",2006-06-26,"",NA,39,91,-10,93,93
"178","2006",2006-06-27,"",NA,25,100,-12,98,100
"179","2006",2006-06-28,"",NA,13,104,-11,102,104
"180","2006",2006-06-29,"",NA,3,105,-9,105,105
"181","2006",2006-06-30,"",NA,-23,73,22,111,111
"182","2006",2006-07-01,"",NA,-10,55,34,99,99
"183","2006",2006-07-02,"",NA,5,86,NA,NA,86
"184","2006",2006-07-03,"",NA,16,74,NA,NA,74
"185","2006",2006-07-04,"fq",NA,10,73,NA,NA,73
"186","2006",2006-07-05,"",NA,57,65,3,79,79
"187","2006",2006-07-06,"",NA,45,75,-3,84,84
"188","2006",2006-07-07,"",NA,32,83,-6,88,88
"189","2006",2006-07-08,"",NA,19,90,-8,93,93
"190","2006",2006-07-09,"",NA,7,95,-8,98,98
"191","2006",2006-07-10,"",NA,-4,97,-6,104,104
"192","2006",2006-07-11,"",NA,-14,97,-3,110,110
"193","2006",2006-07-12,"fm",NA,-21,94,2,115,115
"194","2006",2006-07-13,"",NA,-26,89,8,118,118
"195","2006",2006-07-14,"",NA,-27,82,15,118,118
"196","2006",2006-07-15,"",NA,-25,72,22,115,115
"197","2006",2006-07-16,"",NA,-20,60,29,109,109
"198","2006",2006-07-17,"",NA,-11,47,37,99,99
"199","2006",2006-07-18,"",NA,-1,86,NA,NA,86
"200","2006",2006-07-19,"lq",NA,4,NA,NA,NA,NA
"201","2006",2006-07-20,"",71,0,75,NA,NA,75
"202","2006",2006-07-21,"",NA,49,79,-10,87,87
"203","2006",2006-07-22,"",NA,28,93,-10,100,100
"204","2006",2006-07-23,"",NA,6,104,-18,113,113
"205","2006",2006-07-24,"",NA,-14,109,-15,122,122
"206","2006",2006-07-25,"",NA,-30,108,-8,128,128
"207","2006",2006-07-26,"nm",NA,-39,100,1,129,129
"208","2006",2006-07-27,"",NA,-42,89,11,125,125
"209","2006",2006-07-28,"",NA,-37,75,22,118,118
"210","2006",2006-07-29,"",NA,-28,62,33,109,109
"211","2006",2006-07-30,"",NA,-6,104,-5,107,107
"212","2006",2006-07-31,"fm",NA,-12,100,0,109,109
"213","2006",2006-08-01,"",NA,-16,94,6,111,111
"214","2006",2006-08-02,"",NA,-18,86,13,112,112
"215","2006",2006-08-03,"",NA,-16,77,20,110,110
"216","2006",2006-08-04,"",NA,-12,67,26,107,107
"217","2006",2006-08-05,"",NA,-6,56,33,101,101
"218","2006",2006-08-06,"",NA,2,44,38,92,92
"219","2006",2006-08-07,"",NA,10,80,NA,NA,80
"220","2006",2006-08-08,"lq",NA,8,66,65,NA,66
"221","2006",2006-08-09,"",68,0,73,NA,NA,73
"222","2006",2006-08-10,"",NA,47,79,-10,84,84
"223","2006",2006-08-11,"",NA,26,94,-21,97,97
"224","2006",2006-08-12,"",NA,5,106,-24,110,110
"225","2006",2006-08-13,"",NA,-15,113,-22,122,122
"226","2006",2006-08-14,"",NA,-32,113,-15,130,130
"227","2006",2006-08-15,"nm",NA,-43,106,-6,133,133
"228","2006",2006-08-16,"",NA,-47,93,6,130,130
"229","2006",2006-08-17,"",NA,-42,77,19,122,122
"230","2006",2006-08-18,"",NA,-31,61,31,110,110
"231","2006",2006-08-19,"",NA,-15,48,43,95,95
"232","2006",2006-08-20,"",NA,0,79,NA,NA,79
"233","2006",2006-08-21,"",NA,6,69,62,NA,69
"234","2006",2006-08-22,"fq",65,4,77,NA,NA,77
"235","2006",2006-08-23,"",NA,46,70,2,84,84
"236","2006",2006-08-24,"",NA,31,77,1,90,90
"237","2006",2006-08-25,"",NA,17,82,2,95,95
"238","2006",2006-08-26,"",NA,5,85,3,99,99
"239","2006",2006-08-27,"",NA,-6,87,6,104,104
"240","2006",2006-08-28,"",NA,-15,86,9,108,108
"241","2006",2006-08-29,"",NA,-15,52,42,97,97
"242","2006",2006-08-30,"",NA,-2,84,NA,NA,84
"243","2006",2006-08-31,"",NA,9,71,NA,NA,71
"244","2006",2006-09-01,"fq",NA,12,69,NA,NA,69
"245","2006",2006-09-02,"",NA,57,60,11,74,74
"246","2006",2006-09-03,"",NA,43,63,9,80,80
"247","2006",2006-09-04,"",NA,29,69,7,86,86
"248","2006",2006-09-05,"",NA,15,75,6,93,93
"249","2006",2006-09-06,"",NA,1,80,7,101,101
"250","2006",2006-09-07,"",NA,-12,83,9,109,109
"251","2006",2006-09-08,"",NA,-22,85,12,117,117
"252","2006",2006-09-09,"",NA,-31,84,16,122,122
"253","2006",2006-09-10,"fm",NA,-36,80,20,125,125
"254","2006",2006-09-11,"",NA,-37,75,26,124,124
"255","2006",2006-09-12,"",NA,-34,67,32,119,119
"256","2006",2006-09-13,"",NA,-27,59,39,110,110
"257","2006",2006-09-14,"",NA,-17,53,48,98,98
"258","2006",2006-09-15,"",NA,-6,NA,NA,NA,NA
"259","2006",2006-09-16,"",84,2,71,60,NA,84
"260","2006",2006-09-17,"lq",75,4,83,41,NA,83
"261","2006",2006-09-18,"",79,4,96,NA,NA,96
"262","2006",2006-09-19,"",NA,20,86,6,108,108
"263","2006",2006-09-20,"",NA,0,91,9,118,118
"264","2006",2006-09-21,"",NA,-17,93,13,125,125
"265","2006",2006-09-22,"",NA,-29,91,19,129,129
"266","2006",2006-09-23,"nm",NA,-35,86,25,129,129
"267","2006",2006-09-24,"",NA,-36,80,32,127,127
"268","2006",2006-09-25,"",NA,-32,75,39,121,121
"269","2006",2006-09-26,"",NA,-24,70,45,114,114
"270","2006",2006-09-27,"",NA,-14,67,51,104,104
"271","2006",2006-09-28,"",NA,-3,65,57,93,93
"272","2006",2006-09-29,"",NA,-22,85,13,113,113
"273","2006",2006-09-30,"fm",NA,-27,81,18,116,116
"274","2006",2006-10-01,"",NA,-28,76,23,116,116
"275","2006",2006-10-02,"",NA,-27,70,28,114,114
"276","2006",2006-10-03,"",NA,-23,62,33,110,110
"277","2006",2006-10-04,"",NA,-16,54,39,102,102
"278","2006",2006-10-05,"",NA,-8,48,45,91,91
"279","2006",2006-10-06,"",NA,1,78,NA,NA,78
"280","2006",2006-10-07,"lq",NA,4,66,58,NA,66
"281","2006",2006-10-08,"",69,2,78,39,NA,78
"282","2006",2006-10-09,"",76,0,92,NA,NA,92
"283","2006",2006-10-10,"",NA,17,86,0,106,106
"284","2006",2006-10-11,"",NA,-5,94,0,118,118
"285","2006",2006-10-12,"",NA,-24,97,2,128,128
"286","2006",2006-10-13,"",NA,-39,95,8,134,134
"287","2006",2006-10-14,"nm",NA,-47,89,16,134,134
"288","2006",2006-10-15,"",NA,-48,80,24,130,130
"289","2006",2006-10-16,"",NA,-42,71,33,122,122
"290","2006",2006-10-17,"",NA,-30,64,43,110,110
"291","2006",2006-10-18,"",NA,-16,60,52,97,97
"292","2006",2006-10-19,"",NA,-3,63,60,NA,63
"293","2006",2006-10-20,"",82,9,69,61,NA,82
"294","2006",2006-10-21,"fq",69,16,76,48,NA,76
"295","2006",2006-10-22,"",63,20,82,NA,NA,82
"296","2006",2006-10-23,"",NA,34,65,22,88,88
"297","2006",2006-10-24,"",NA,20,69,24,94,94
"298","2006",2006-10-25,"",NA,7,73,25,101,101
"299","2006",2006-10-26,"",NA,-4,76,27,108,108
"300","2006",2006-10-27,"",NA,-14,79,29,115,115
"301","2006",2006-10-28,"",NA,-22,80,32,121,121
"302","2006",2006-10-29,"fm",NA,-27,80,34,124,124
"303","2006",2006-10-30,"",NA,8,66,62,81,81
"304","2006",2006-10-31,"",NA,17,69,62,NA,69
"305","2006",2006-11-01,"fq",68,24,74,51,NA,74
"306","2006",2006-11-02,"",60,28,81,NA,NA,81
"307","2006",2006-11-03,"",NA,37,62,29,89,89
"308","2006",2006-11-04,"",NA,22,68,31,98,98
"309","2006",2006-11-05,"",NA,7,74,32,108,108
"310","2006",2006-11-06,"",NA,-7,79,33,118,118
"311","2006",2006-11-07,"",NA,-20,83,34,127,127
"312","2006",2006-11-08,"",NA,-29,84,35,133,133
"313","2006",2006-11-09,"fm",NA,-35,83,37,136,136
"314","2006",2006-11-10,"",NA,-36,81,40,134,134
"315","2006",2006-11-11,"",NA,-33,78,44,129,129
"316","2006",2006-11-12,"",NA,-25,77,50,120,120
"317","2006",2006-11-13,"",NA,-14,77,56,109,109
"318","2006",2006-11-14,"",NA,-1,81,60,NA,81
"319","2006",2006-11-15,"",96,12,89,56,NA,96
"320","2006",2006-11-16,"lq",84,23,98,42,NA,98
"321","2006",2006-11-17,"",79,32,107,25,NA,107
"322","2006",2006-11-18,"",80,39,115,NA,NA,115
"323","2006",2006-11-19,"",NA,8,83,43,123,123
"324","2006",2006-11-20,"",NA,-6,86,46,129,129
"325","2006",2006-11-21,"",NA,-16,89,48,133,133
"326","2006",2006-11-22,"",NA,-21,91,49,136,136
"327","2006",2006-11-23,"nm",NA,-22,92,50,136,136
"328","2006",2006-11-24,"",NA,-19,93,52,134,134
"329","2006",2006-11-25,"",NA,-14,92,53,129,129
"330","2006",2006-11-26,"",NA,-6,91,55,121,121
"331","2006",2006-11-27,"",NA,3,89,57,111,111
"332","2006",2006-11-28,"",NA,13,87,59,99,99
"333","2006",2006-11-29,"",NA,-29,78,36,125,125
"334","2006",2006-11-30,"",NA,-28,75,39,123,123
"335","2006",2006-12-01,"",NA,-25,71,43,117,117
"336","2006",2006-12-02,"",NA,-18,68,48,109,109
"337","2006",2006-12-03,"",NA,-9,67,54,98,98
"338","2006",2006-12-04,"",NA,1,71,60,NA,71
"339","2006",2006-12-05,"",86,10,80,55,NA,86
"340","2006",2006-12-06,"lq",77,17,91,39,NA,91
"341","2006",2006-12-07,"",76,23,103,19,NA,103
"342","2006",2006-12-08,"",80,27,115,NA,NA,115
"343","2006",2006-12-09,"",NA,0,85,30,125,125
"344","2006",2006-12-10,"",NA,-18,88,33,133,133
"345","2006",2006-12-11,"",NA,-31,89,36,138,138
"346","2006",2006-12-12,"nm",NA,-37,88,39,140,140
"347","2006",2006-12-13,"",NA,-37,87,43,138,138
"348","2006",2006-12-14,"",NA,-32,86,47,132,132
"349","2006",2006-12-15,"",NA,-22,85,51,123,123
"350","2006",2006-12-16,"",NA,-10,84,55,111,111
"351","2006",2006-12-17,"",NA,4,83,58,97,97
"352","2006",2006-12-18,"",NA,17,83,60,NA,83
"353","2006",2006-12-19,"",82,29,83,58,NA,83
"354","2006",2006-12-20,"fq",68,40,86,47,NA,86
"355","2006",2006-12-21,"",61,48,91,NA,NA,91
"356","2006",2006-12-22,"",NA,33,65,52,98,98
"357","2006",2006-12-23,"",NA,20,73,54,107,107
"358","2006",2006-12-24,"",NA,7,79,54,116,116
"359","2006",2006-12-25,"",NA,-4,85,53,125,125
"360","2006",2006-12-26,"",NA,-13,89,51,132,132
"361","2006",2006-12-27,"",NA,-20,91,49,137,137
"362","2006",2006-12-28,"fm",NA,-24,92,48,139,139
"363","2006",2006-12-29,"",NA,24,86,61,NA,86
"364","2006",2006-12-30,"",85,34,86,61,NA,86
"365","2006",2006-12-31,"fq",71,45,90,52,NA,90
"366","2007",2007-01-01,"",63,55,97,NA,NA,97
"367","2007",2007-01-02,"",NA,37,68,60,106,106
"368","2007",2007-01-03,"",NA,20,77,61,117,117
"369","2007",2007-01-04,"",NA,5,85,60,128,128
"370","2007",2007-01-05,"",NA,-9,91,57,138,138
"371","2007",2007-01-06,"",NA,-21,95,54,145,145
"372","2007",2007-01-07,"fm",NA,-28,99,51,150,150
"373","2007",2007-01-08,"",NA,-30,101,49,151,151
"374","2007",2007-01-09,"",NA,-27,104,48,147,147
"375","2007",2007-01-10,"",NA,-18,107,49,139,139
"376","2007",2007-01-11,"",NA,-5,110,51,126,126
"377","2007",2007-01-12,"",NA,11,112,53,NA,112
"378","2007",2007-01-13,"",109,29,113,53,NA,113
"379","2007",2007-01-14,"lq",91,46,113,49,NA,113
"380","2007",2007-01-15,"",76,61,114,36,NA,114
"381","2007",2007-01-16,"",78,73,117,NA,NA,117
"382","2007",2007-01-17,"",NA,21,88,75,125,125
"383","2007",2007-01-18,"",NA,8,98,71,133,133
"384","2007",2007-01-19,"",NA,-2,105,66,141,141
"385","2007",2007-01-20,"",NA,-7,110,61,147,147
"386","2007",2007-01-21,"nm",NA,-8,114,57,150,150
"387","2007",2007-01-22,"",NA,-6,115,54,149,149
"388","2007",2007-01-23,"",NA,-2,116,51,145,145
"389","2007",2007-01-24,"",NA,5,115,50,137,137
"390","2007",2007-01-25,"",NA,13,114,50,127,127
"391","2007",2007-01-26,"",NA,22,113,52,115,115
"392","2007",2007-01-27,"",NA,32,111,56,101,111
"393","2007",2007-01-28,"",NA,43,110,60,NA,110
"394","2007",2007-01-29,"",NA,-24,93,48,138,138
"395","2007",2007-01-30,"",NA,-20,94,49,133,133
"396","2007",2007-01-31,"",NA,-13,95,51,126,126
"397","2007",2007-02-01,"",NA,-2,98,54,115,115
"398","2007",2007-02-02,"",NA,11,101,56,NA,101
"399","2007",2007-02-03,"",101,25,104,54,NA,104
"400","2007",2007-02-04,"lq",87,39,109,44,NA,109
"401","2007",2007-02-05,"",76,52,114,29,NA,114
"402","2007",2007-02-06,"",77,61,121,NA,NA,121
"403","2007",2007-02-07,"",NA,11,85,64,130,130
"404","2007",2007-02-08,"",NA,-4,93,63,138,138
"405","2007",2007-02-09,"",NA,-15,100,59,146,146
"406","2007",2007-02-10,"",NA,-21,106,55,151,151
"407","2007",2007-02-11,"nm",NA,-22,109,52,152,152
"408","2007",2007-02-12,"",NA,-17,111,50,148,148
"409","2007",2007-02-13,"",NA,-8,112,50,139,139
"410","2007",2007-02-14,"",NA,3,111,51,127,127
"411","2007",2007-02-15,"",NA,15,109,53,113,113
"412","2007",2007-02-16,"",NA,27,105,56,98,105
"413","2007",2007-02-17,"",NA,39,102,61,NA,102
"414","2007",2007-02-18,"",82,51,99,62,NA,99
"415","2007",2007-02-19,"fq",66,61,98,NA,NA,98
"416","2007",2007-02-20,"",NA,50,102,NA,NA,102
"417","2007",2007-02-21,"",NA,35,84,82,111,111
"418","2007",2007-02-22,"",NA,21,91,77,122,122
"419","2007",2007-02-23,"",NA,8,98,71,133,133
"420","2007",2007-02-24,"",NA,-3,103,64,143,143
"421","2007",2007-02-25,"",NA,-12,108,57,150,150
"422","2007",2007-02-26,"fm",NA,-17,113,50,155,155
"423","2007",2007-02-27,"",NA,-17,118,45,155,155
"424","2007",2007-02-28,"",NA,-13,122,42,151,151
"425","2007",2007-03-01,"",86,54,108,62,NA,108
"426","2007",2007-03-02,"fq",71,64,107,51,NA,107
"427","2007",2007-03-03,"",110,NA,NA,NA,NA,110
"428","2007",2007-03-04,"",NA,34,88,86,119,119
"429","2007",2007-03-05,"",NA,16,96,80,131,131
"430","2007",2007-03-06,"",NA,0,104,71,144,144
"431","2007",2007-03-07,"",NA,-13,112,60,156,156
"432","2007",2007-03-08,"",NA,-21,119,50,164,164
"433","2007",2007-03-09,"fm",NA,-23,126,42,167,167
"434","2007",2007-03-10,"",NA,-18,132,36,163,163
"435","2007",2007-03-11,"",NA,-7,137,33,151,151
"436","2007",2007-03-12,"",NA,8,138,34,134,138
"437","2007",2007-03-13,"",NA,26,137,39,NA,137
"438","2007",2007-03-14,"",112,44,132,48,NA,132
"439","2007",2007-03-15,"lq",89,61,123,54,NA,123
"440","2007",2007-03-16,"",113,NA,NA,NA,NA,113
"441","2007",2007-03-17,"",NA,42,112,NA,NA,112
"442","2007",2007-03-18,"",NA,26,105,87,124,124
"443","2007",2007-03-19,"",NA,15,113,76,137,137
"444","2007",2007-03-20,"",NA,7,120,66,146,146
"445","2007",2007-03-21,"",NA,3,125,57,153,153
"446","2007",2007-03-22,"",NA,3,128,50,155,155
"447","2007",2007-03-23,"nm",NA,5,130,43,154,154
"448","2007",2007-03-24,"",NA,9,131,38,149,149
"449","2007",2007-03-25,"",NA,14,132,36,142,142
"450","2007",2007-03-26,"",NA,21,132,35,132,132
"451","2007",2007-03-27,"",NA,30,132,37,120,132
"452","2007",2007-03-28,"",NA,39,131,42,107,131
"453","2007",2007-03-29,"",NA,49,129,48,92,129
"454","2007",2007-03-30,"",NA,58,125,55,NA,125
"455","2007",2007-03-31,"fq",75,65,119,56,NA,119
"456","2007",2007-04-01,"",NA,-4,126,41,142,142
"457","2007",2007-04-02,"",NA,9,129,42,127,129
"458","2007",2007-04-03,"",NA,24,130,45,NA,130
"459","2007",2007-04-04,"",109,41,128,50,NA,128
"460","2007",2007-04-05,"lq",89,57,123,51,NA,123
"461","2007",2007-04-06,"",72,71,118,NA,NA,118
"462","2007",2007-04-07,"",NA,38,120,NA,NA,120
"463","2007",2007-04-08,"",NA,21,100,85,131,131
"464","2007",2007-04-09,"",NA,6,110,75,144,144
"465","2007",2007-04-10,"",NA,-4,119,64,155,155
"466","2007",2007-04-11,"",NA,-8,126,55,161,161
"467","2007",2007-04-12,"nm",NA,-7,130,47,161,161
"468","2007",2007-04-13,"",NA,-2,132,42,156,156
"469","2007",2007-04-14,"",NA,6,132,40,147,147
"470","2007",2007-04-15,"",NA,15,131,40,135,135
"471","2007",2007-04-16,"",NA,26,129,42,122,129
"472","2007",2007-04-17,"",NA,36,125,46,107,125
"473","2007",2007-04-18,"",NA,47,122,53,91,122
"474","2007",2007-04-19,"",NA,56,118,61,76,118
"475","2007",2007-04-20,"fq",NA,64,112,NA,NA,112
"476","2007",2007-04-21,"",NA,60,106,NA,NA,106
"477","2007",2007-04-22,"",NA,45,99,98,107,107
"478","2007",2007-04-23,"",NA,29,101,87,120,120
"479","2007",2007-04-24,"",NA,15,107,75,133,133
