year;site;nest;comment;;;;;;;;;;;
2006;D;43;found freshly hatched chick in the nest scrape, unhatched egg with yolk only, not clear whether there was a second chick;;;;;;;;;;;
2006;D;44;;;;;;;;;;;;
2006;D;45;;;;;;;;;;;;
2006;D;46;;;;;;;;;;;;
2006;D;47;;;;;;;;;;;;
2006;D;101;;;;;;;;;;;;
2006;D;102;2 eggs/chicks disappeared at hatching, after the first chick had hatched;;;;;;;;;;;
2006;D;103;;;;;;;;;;;;
2006;D;104;;;;;;;;;;;;
2006;D;105;;;;;;;;;;;;
2006;D;106;;;;;;;;;;;;
2006;D;107;;;;;;;;;;;;
2006;D;108;;;;;;;;;;;;
2006;D;109;;;;;;;;;;;;
2006;D;110;;;;;;;;;;;;
2006;D;111;;;;;;;;;;;;
2006;D;112;;;;;;;;;;;;
2006;D;113;;;;;;;;;;;;
2006;D;114;only one chick ringed a few days after hatching;;;;;;;;;;;
2006;D;115;accidentially stepped on nest;;;;;;;;;;;
2006;D;116;;;;;;;;;;;;
2006;D;117;unhatched egg(s) with yolk only;;;;;;;;;;;
2006;D;118;chick ringed a few days after hatching, risk of brood mixing;;;;;;;;;;;
2006;D;119;;;;;;;;;;;;
2006;D;120;;;;;;;;;;;;
2006;D;122;?2 dead emryos and one egg with yolk only;;;;;;;;;;;
2006;D;202;unhatched egg(s) with yolk only;;;;;;;;;;;
2006;D;203;one unhatched egg with yolk, the other with dead embryo inside;;;;;;;;;;;
2006;D;204;;;;;;;;;;;;
2006;E;1;602 found one egg with dead embryo close to nest, 606 broke last eggs: one with dead embryo, one with yolk inside;;;;;;;;;;;
2006;E;2;;;;;;;;;;;;
2006;F;1;;;;;;;;;;;;
2007;A;1;;;;;;;;;;;;
2007;A;2;;;;;;;;;;;;
2007;A;3;;;;;;;;;;;;
2007;A;4;;;;;;;;;;;;
2007;A;5;;;;;;;;;;;;
2007;A;6;;;;;;;;;;;;
2007;A;7;;;;;;;;;;;;
2007;A;8;;;;;;;;;;;;
2007;A;9;;;;;;;;;;;;
2007;A;101;;;;;;;;;;;;
2007;A;102;;;;;;;;;;;;
2007;A;103;;;;;;;;;;;;
2007;A;104;Broken egg while it was being mesure. Egg 2;;;;;;;;;;;
2007;A;105;Sterna anillarum invaded this nest.;;;;;;;;;;;
2007;A;106;;;;;;;;;;;;
2007;A;107;;;;;;;;;;;;
2007;A;108;;;;;;;;;;;;
2007;A;109;;;;;;;;;;;;
2007;A;110;;;;;;;;;;;;
2007;A;111;;;;;;;;;;;;
2007;A;112;;;;;;;;;;;;
2007;A;113;;;;;;;;;;;;
2007;A;114;;;;;;;;;;;;
2007;A;115;;;;;;;;;;;;
2007;A;116;;;;;;;;;;;;
2007;A;117;;;;;;;;;;;;
2007;A;118;;;;;;;;;;;;
2007;A;119;;;;;;;;;;;;
2007;A;120;;;;;;;;;;;;
2007;A;121;;;;;;;;;;;;
2007;A;122;ONE BROKEN EGG. WHILE ONE OF THE PARENTS WERE TRAP.;;;;;;;;;;;
2007;A;123;About to be born. ;;;;;;;;;;;
2007;A;124;2 FLOODED;;;;;;;;;;;
2007;A;125;ONE FLOODED;;;;;;;;;;;
2007;A;126;;;;;;;;;;;;
2007;A;127;;;;;;;;;;;;
2007;A;128;;;;;;;;;;;;
2007;A;129;;;;;;;;;;;;
2007;A;130;;;;;;;;;;;;
2007;A;131;;;;;;;;;;;;
2007;A;132;;;;;;;;;;;;
2007;A;133;;;;;;;;;;;;
2007;A;134;;;;;;;;;;;;
2007;A;201;;;;;;;;;;;;
2007;A;202;;;;;;;;;;;;
2007;A;203;;;;;;;;;;;;
2007;A;204;ONE BROKEN EGG;;;;;;;;;;;
2007;A;205;;;;;;;;;;;;
2007;A;206;;;;;;;;;;;;
2007;A;207;one egg broken;;;;;;;;;;;
2007;A;301;;;;;;;;;;;;
2007;B;1;;;;;;;;;;;;
2007;B;2;;;;;;;;;;;;
2007;B;3;;;;;;;;;;;;
2007;B;4;;;;;;;;;;;;
2007;B;5;;;;;;;;;;;;
2007;B;6;;;;;;;;;;;;
2007;B;7;;;;;;;;;;;;
2007;B;8;;;;;;;;;;;;
2007;B;9;;;;;;;;;;;;
2007;B;10;;;;;;;;;;;;
2007;B;11;;;;;;;;;;;;
2007;B;12;;;;;;;;;;;;
2007;B;13;;;;;;;;;;;;
2007;B;101;;;;;;;;;;;;
2007;B;102;;;;;;;;;;;;
2007;B;103;About to be born. Already nocking?.;;;;;;;;;;;
2007;B;104;;;;;;;;;;;;
2007;B;105;;;;;;;;;;;;
2007;B;106;;;;;;;;;;;;
2007;B;107;;;;;;;;;;;;
2007;B;108;;;;;;;;;;;;
2007;B;109;replaced eggs with excess eggs from B107 and A130;;;;;;;;;;;
2007;B;301;;;;;;;;;;;;
2007;C;1;;;;;;;;;;;;
2007;C;2;;;;;;;;;;;;
2007;C;3;;;;;;;;;;;;
2007;C;4;;;;;;;;;;;;
2007;C;5;;;;;;;;;;;;
2007;C;6;;;;;;;;;;;;
2007;C;7;;;;;;;;;;;;
2007;C;8;;;;;;;;;;;;
2007;C;9;;;;;;;;;;;;
2007;C;10;;;;;;;;;;;;
2007;C;11;;;;;;;;;;;;
2007;C;12;;;;;;;;;;;;
2007;C;13;;;;;;;;;;;;
2007;C;14;;;;;;;;;;;;
2007;C;15;;;;;;;;;;;;
2007;C;16;;;;;;;;;;;;
2007;C;17;;;;;;;;;;;;
2007;C;101;;;;;;;;;;;;
2007;C;102;;;;;;;;;;;;
2007;C;103;;;;;;;;;;;;
2007;C;104;;;;;;;;;;;;
2007;C;301;;;;;;;;;;;;
2007;C;305;;;;;;;;;;;;
2007;C;302;;;;;;;;;;;;
2007;C;303;;;;;;;;;;;;
2007;C;304;;;;;;;;;;;;
2007;D;1;probably hatched, saw parents tending chicks, male BX.MX|gX.BX = D-3;;;;;;;;;;;
2007;D;2;;;;;;;;;;;;
2007;D;3;;;;;;;;;;;;
2007;D;4;517 one egg missing;;;;;;;;;;;
2007;D;5;;;;;;;;;;;;
2007;D;6;;;;;;;;;;;;
2007;D;7;;;;;;;;;;;;
2007;D;8;;;;;;;;;;;;
2007;D;9;;;;;;;;;;;;
2007;D;10;;;;;;;;;;;;
2007;D;11;;;;;;;;;;;;
2007;D;12;;;;;;;;;;;;
2007;D;13;;;;;;;;;;;;
2007;D;101;;;;;;;;;;;;
2007;D;102;;;;;;;;;;;;
2007;D;103;;;;;;;;;;;;
2007;D;104;;;;;;;;;;;;
2007;D;105;;;;;;;;;;;;
2007;D;106;I just had 2 in my notes, and also in the wall papers says only two.;;;;;;;;;;;
2007;D;107;;;;;;;;;;;;
2007;D;108;;;;;;;;;;;;
2007;D;109;one egg missing.;;;;;;;;;;;
2007;D;110;;;;;;;;;;;;
2007;D;111;;;;;;;;;;;;
2007;D;302;;;;;;;;;;;;
2007;E;1;;;;;;;;;;;;
2007;E;2;;;;;;;;;;;;
2007;E;3;;;;;;;;;;;;
2007;E;4;;;;;;;;;;;;
2007;E;5;;;;;;;;;;;;
2007;E;101;;;;;;;;;;;;
2007;E;102;;;;;;;;;;;;
2007;E;103;;;;;;;;;;;;
2007;E;301;;;;;;;;;;;;
2007;E;302;;;;;;;;;;;;
2007;E;303;the coordinates of E303 estan in the GPS.;;;;;;;;;;;
2007;E;304;;;;;;;;;;;;
2007;E;305;;;;;;;;;;;;
2007;E;306;;;;;;;;;;;;
2007;F;101;;;;;;;;;;;;
2008;A;1;;;;;;;;;;;;
2008;A;2;JUST ONE EGG IN THE NEST, WHEN FOUND.;;;;;;;;;;;
2008;A;3;WAS ABANDONED THE DAY THAT HATCH. CF A2;;;;;;;;;;;
2008;A;4;ONE CHICK DIED WHILE BEING PROCESS.;;;;;;;;;;;
2008;A;5;CF A6;;;;;;;;;;;
2008;A;6;CF A5;;;;;;;;;;;
2008;A;7;FLOODED WHEN FOUND, BIRD STILL INCUBATING UNTIL 0503;;;;;;;;;;;
2008;A;8;;;;;;;;;;;;
2008;A;9;;;;;;;;;;;;
2008;A;10;;;;;;;;;;;;
2008;A;11;;;;;;;;;;;;
2008;A;12;FLOODED;;;;;;;;;;;
2008;A;13;;;;;;;;;;;;
2008;A;14;;;;;;;;;;;;
2008;A;15;;;;;;;;;;;;
2008;A;16;;;;;;;;;;;;
2008;A;17;;;;;;;;;;;;
2008;A;18;;;;;;;;;;;;
2008;A;19;;;;;;;;;;;;
2008;A;20;CF B3;;;;;;;;;;;
2008;A;22;;;;;;;;;;;;
2008;A;23;CF B106;;;;;;;;;;;
2008;A;24;;;;;;;;;;;;
2008;A;25;;;;;;;;;;;;
2008;A;101;;;;;;;;;;;;
2008;A;102;;;;;;;;;;;;
2008;A;103;;;;;;;;;;;;
2008;A;104;;;;;;;;;;;;
2008;A ;21;;;;;;;;;;;;
2008;B;1;CRUSHED BY COWS;;;;;;;;;;;
2008;B;2;;;;;;;;;;;;
2008;B;3;CF A20;;;;;;;;;;;
2008;B;4;EGG BROKEN AND ROTTEN BUT MALE STILL INCUBATING. 05/20/08 WAS FOUND WITH 2 MORE EGGS.;;;;;;;;;;;
2008;B;101;;;;;;;;;;;;
2008;B;102;;;;;;;;;;;;
2008;B;103;;;;;;;;;;;;
2008;B;104;2nd egg trampled by cows;;;;;;;;;;;
2008;B;105;;;;;;;;;;;;
2008;B;106;;;;;;;;;;;;
2008;B;107;;;;;;;;;;;;
2008;B;201;;;;;;;;;;;;
2008;C;1;;;;;;;;;;;;
2008;C;101;2 eggs broken by cows.;;;;;;;;;;;
2008;C;102;;;;;;;;;;;;
2008;C;103;;;;;;;;;;;;
2008;C;104;;;;;;;;;;;;
2008;C;105;;;;;;;;;;;;
2008;C;106;;;;;;;;;;;;
2008;C;107;;;;;;;;;;;;
2008;C;108;missing coordinate;;;;;;;;;;;
2008;C;109;;;;;;;;;;;;
2008;C;110;;;;;;;;;;;;
2008;C;111;;;;;;;;;;;;
2008;C;112;;;;;;;;;;;;
2008;C;113;FLLODED;;;;;;;;;;;
2008;C;114;One chick dead in the nests.;;;;;;;;;;;
2008;C;115;;;;;;;;;;;;
2008;D;1;;;;;;;;;;;;
2008;D;2;FLOODED;;;;;;;;;;;
2008;D;3;;;;;;;;;;;;
2008;D;4;;;;;;;;;;;;
2008;D;5;FLOODED;;;;;;;;;;;
2008;D;6;FLOODED;;;;;;;;;;;
2008;D;101;;;;;;;;;;;;
2008;D;102;;;;;;;;;;;;
2008;D;103;COVERRED FOR DUST.;;;;;;;;;;;
2008;D;104;FLOODED;;;;;;;;;;;
2008;D;105;FLOODED;;;;;;;;;;;
2008;D;201;;;;;;;;;;;;
2008;D;202;;;;;;;;;;;;
2008;D;203;flotation eggs 2 and 3: 621;;;;;;;;;;;
2008;D;204;flotation eggs 2 and 3: 621;;;;;;;;;;;
2008;E;101;;;;;;;;;;;;
2008;E;102;;;;;;;;;;;;
2008;F;101;;;;;;;;;;;;
2008;F;102;;;;;;;;;;;;
2009;A;1;;;;;;;;;;;;
2009;A;2;;;;;;;;;;;;
2009;A;3;;;;;;;;;;;;
