year;site;nest;comment;;;;;;;;;;;
2011;A;16;Two chicks ringed 619 and third chick ringed 621;;;;;;;;;;;
2011;A;17;;;;;;;;;;;;
2011;D;4;;;;;;;;;;;;
2011;B;104;;;;;;;;;;;;
2011;E;1;;;;;;;;;;;;
2011;B;4;CF E2;;;;;;;;;;;
2011;E;2;CF E5;;;;;;;;;;;
2011;C;4;;;;;;;;;;;;
2011;E;5;CF B4;;;;;;;;;;;
2011;A;301;;;;;;;;;;;;
2011;E;8;"Two eggs when found;eggs floated 608";;;;;;;;;;;
2011;A;202;Flooded by rain;;;;;;;;;;;
2011;B;3;"Two eggs when found; eggs floated 610;Two eggs  flooded by rain on 703;CF D5";;;;;;;;;;;
2011;B;5;"One egg when found;eggs floated 613;Flooded by rain 703";;;;;;;;;;;
2011;B;202;Flooded by rain;;;;;;;;;;;
2011;B;203;Flooded by rain;;;;;;;;;;;
2011;B;301;Flooded by rain;;;;;;;;;;;
2011;C;101;Flooded by rain;;;;;;;;;;;
2011;D;5;CF B3;;;;;;;;;;;
2011;D;7;"Eggs 2 and 3 were predated;flooded by rain";;;;;;;;;;;
2011;D;8;Flooded by rain;;;;;;;;;;;
2011;D;9;"1 egg when found, Floated 701;Flooded by rain";;;;;;;;;;;
2011;D;102;Flooded by rain;;;;;;;;;;;
2011;D;201;"Eggs floated 619;Flooded by rain";;;;;;;;;;;
2011;E;9;Flooded by rain;;;;;;;;;;;
2011;E;10;Flooded by rain;;;;;;;;;;;
2011;A;203;eggs not floated or measured;;;;;;;;;;;
2012;B;101;;;;;;;;;;;;
2012;C;101;;;;;;;;;;;;
2012;C;301;;;;;;;;;;;;
2012;D;1;found with one egg only, all eggs floated 507;;;;;;;;;;;
2012;D;2;;;;;;;;;;;;
2012;D;3;3rd egg found 517, not measured;;;;;;;;;;;
2012;D;4;;;;;;;;;;;;
2012;D;5;third chick not found;;;;;;;;;;;
2012;D;6;;;;;;;;;;;;
2012;D;101;;;;;;;;;;;;
2012;D;102;predated by racoon;;;;;;;;;;;
2012;D;301;;;;;;;;;;;;
2012;E;101;chicks not in captures file!;;;;;;;;;;;
2012;G;1;;;;;;;;;;;;
2012;G;2;predated by coyote;;;;;;;;;;;
2012;G;3;;;;;;;;;;;;
2012;G;4;Last chick unringed;;;;;;;;;;;
2012;G;5;;;;;;;;;;;;
2012;G;6;Two eggs flooded;;;;;;;;;;;
2012;G;7;predated by coyote;;;;;;;;;;;
2012;G;8;3rd egg found 523;;;;;;;;;;;
2012;G;9;;;;;;;;;;;;
2012;G;10;;;;;;;;;;;;
2012;G;11;;;;;;;;;;;;
2012;G;12;;;;;;;;;;;;
2012;G;201;;;;;;;;;;;;
2012;G;202;;;;;;;;;;;;
2012;G;203;;;;;;;;;;;;
2012;G;204;;;;;;;;;;;;
2012;G;301;;;;;;;;;;;;
2012;G;302;;;;;;;;;;;;
2012;G;303;;;;;;;;;;;;
2012;G;304;;;;;;;;;;;;
2012;G;305;Parents not captured;;;;;;;;;;;
2013;B;101;;;;;;;;;;;;
2013;C;1;;;;;;;;;;;;
2013;C;2;;;;;;;;;;;;
2013;C;3;;;;;;;;;;;;
2013;C;4;;;;;;;;;;;;
2013;C;5;;;;;;;;;;;;
2013;C;6;;;;;;;;;;;;
2013;C;101;;;;;;;;;;;;
2013;C;201;;;;;;;;;;;;
2013;D;1;;;;;;;;;;;;
2013;D;2;;;;;;;;;;;;
2013;D;3;;;;;;;;;;;;
2013;D;4;;;;;;;;;;;;
2013;D;5;;;;;;;;;;;;
2013;D;6;;;;;;;;;;;;
2013;D;7;;;;;;;;;;;;
2013;D;8;The nest had footprint of racoon around;;;;;;;;;;;
2013;D;9;;;;;;;;;;;;
2013;D;10;;;;;;;;;;;;
2013;D;11;;;;;;;;;;;;
2013;D;12;Hatching date between 608 and 615;;;;;;;;;;;
2013;D;13;Hatching date between 612 and 619;;;;;;;;;;;
2013;D;14;;;;;;;;;;;;
2013;D;101;An egg was lost;;;;;;;;;;;
2013;D;102;Disappeared between 2 and 4 pm;;;;;;;;;;;
2013;D;103;;;;;;;;;;;;
2013;E;1;Nest was stepped by  horses;;;;;;;;;;;
2013;E;2;Nest was stepped by  horses;;;;;;;;;;;
2013;G;1;;;;;;;;;;;;
2013;G;2;;;;;;;;;;;;
2013;G;3;;;;;;;;;;;;
2015;A;1;;;;;;;;;;;;
2015;A;2;;;;;;;;;;;;
2015;A;3;;;;;;;;;;;;
2015;A;4;;;;;;;;;;;;
2015;C;1;;;;;;;;;;;;
2015;C;2;;;;;;;;;;;;
2015;C;3;;;;;;;;;;;;
2015;C;4;;;;;;;;;;;;
2015;C;5;;;;;;;;;;;;
2015;A;5;;;;;;;;;;;;
2015;B;1;;;;;;;;;;;;
2015;C;6;;;;;;;;;;;;
2015;C;7;;;;;;;;;;;;
2015;D;1;;;;;;;;;;;;
2015;E;1;;;;;;;;;;;;
2015;D;2;;;;;;;;;;;;
2015;E;2;;;;;;;;;;;;
2015;A;6;;;;;;;;;;;;
2015;A;7;;;;;;;;;;;;
2015;B;2;;;;;;;;;;;;
2015;E;101;;;;;;;;;;;;
2015;D;3;;;;;;;;;;;;
2015;D;101;Eggs measured and floated five days after found;;;;;;;;;;;
2015;D;102;;;;;;;;;;;;
2015;D;103;;;;;;;;;;;;
2015;D;104;;;;;;;;;;;;
2015;A;8;;;;;;;;;;;;
2015;A;9;;;;;;;;;;;;
2015;A;10;;;;;;;;;;;;
2015;E;102;;;;;;;;;;;;
2015;D;4;nest found with two eggs, when lay the third egg , the nest flooded;;;;;;;;;;;
2015;A;11;;;;;;;;;;;;
2015;A;12;;;;;;;;;;;;
2015;C;8;float the third egg  after five days;;;;;;;;;;;
2015;C;9;;;;;;;;;;;;
2015;A;13;;;;;;;;;;;;
2015;C;10;;;;;;;;;;;;
2015;E;3;;;;;;;;;;;;
2015;C;11;;;;;;;;;;;;
2015;C;12;;;;;;;;;;;;
2015;E;4;;;;;;;;;;;;
2015;A;14;;;;;;;;;;;;
2015;A;101;;;;;;;;;;;;
2015;A;15;;;;;;;;;;;;
2015;A;16;;;;;;;;;;;;
2015;D;5;;;;;;;;;;;;
2016;A;101;nest found 409 during a survey, when SGA arrive at Ceuta 416 not found the nest again;;;;;;;;;;;
2016;A;102;;;;;;;;;;;;
2016;A;103;;;;;;;;;;;;
2016;A;104;;;;;;;;;;;;
2016;A;105;;;;;;;;;;;;
2016;A;1;511 hatched two chicks, 512 hacth the third chick;;;;;;;;;;;
2016;A;2;one chick death inside of egg;;;;;;;;;;;
2016;A;3;i found in 426 only one egg, therefore i no floated the egg, two dyas after i found two chicks in the nest;;;;;;;;;;;
2016;A;4;;;;;;;;;;;;
2016;A;5;the three chicks broken the egg in 429 but hatched until 502;;;;;;;;;;;
2016;A;6;;;;;;;;;;;;
2016;A;7;;;;;;;;;;;;
2016;A;8;;;;;;;;;;;;
2016;A;9;;;;;;;;;;;;
2016;A;10;;;;;;;;;;;;
2016;A;11;;;;;;;;;;;;
2016;A;201;;;;;;;;;;;;
2016;A;12;;;;;;;;;;;;
2016;B;1;;;;;;;;;;;;
2016;B;2;;;;;;;;;;;;
2016;E;1;;;;;;;;;;;;
2016;D;1;;;;;;;;;;;;
2016;D;2;Nest found 506 with only two eggs, in 508 lay the last egg;;;;;;;;;;;
2016;D;3;;;;;;;;;;;;
2016;A;13;;;;;;;;;;;;
2016;A;14;;;;;;;;;;;;
2016;A;15;nest with five eggs, in 516 only four eggs, 525 three eggs, 528 only two eggs;;;;;;;;;;;
2016;A;16;;;;;;;;;;;;
2016;A;17;;;;;;;;;;;;
2016;A;18;;;;;;;;;;;;
2016;A;106;;;;;;;;;;;;
2016;B;3;;;;;;;;;;;;
2016;A;19;;;;;;;;;;;;
2016;E;2;;;;;;;;;;;;
2016;D;4;;;;;;;;;;;;
2016;C;1;;;;;;;;;;;;
2016;A;20;;;;;;;;;;;;
2016;A;21;;;;;;;;;;;;
2016;A;22;;;;;;;;;;;;
2016;A;23;;;;;;;;;;;;
2016;A;24;;;;;;;;;;;;
2016;C;2;;;;;;;;;;;;
2016;E;3;;;;;;;;;;;;
2016;C;3;;;;;;;;;;;;
2016;C;4;;;;;;;;;;;;
2016;A;25;;;;;;;;;;;;
2016;A;26;;;;;;;;;;;;
2016;E;4;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
